term,count
A,13236
B,12206
Hanson Island,8730
Flower Island,7980
CP,5243
I,4882
Hansen Island,3657
Parson Island,3109
August,2742
Critical Point,2708
Helena,2308
Parsons Island,2292
Blackfish Sound,2099
Vancouver Island,1915
September,1895
July,1877
Parsons,1756
I'm,1642
A30s,1518
Craycroft,1463
Johnson Strait,1453
Craycroft Point,1444
Blackney Pass,1325
Local Left,1298
October,1277
Rubbing Beach,1214
AM,1124
A1,919
Parson,914
A36s,896
November,884
Robin Beach,804
A12s,798
Critical,754
Henson Island,749
I've,731
Flower,690
Tomoko,639
Hudson Island,627
Johnson Street,624
A5,597
A5s,558
Carson Island,554
Saturday,522
Wednesday,500
Fiona,498
Sunday,486
Loving Beach,466
Swain Point,458
Thursday,444
Rubbing Beaches,444
Friday,442
A-12s,435
Monday,427
Tuesday,419
Dave,409
Hide,384
Vancouver,383
I-15s,377
Melanie,370
Hannah,352
Blackley Pass,337
A4s,315
Gigi,292
Person Island,287
I'll,278
David,278
Krakow Point,275
Johnson St,266
PM,264
Lisa,263
Local,262
Julie,262
Far Island,259
December,250
Sunday August,245
Monday August,236
Blackney,235
Hanson Island Tape,235
Tuesday August,232
Blakeney Pass,231
I-31s,231
Thursday August,230
Monday July,229
A's,228
June,227
Saturday August,225
Sunday July,220
G,219
Wednesday August,219
A1s,213
G-Clan,213
Hanson,210
Friday August,210
Mary,203
Strait,202
Denise,202
Hansa Island,201
Thursday September,198
Tuesday September,195
January,194
Sven,194
Anson Island,193
Sunday October,191
Sunday September,190
Side A,189
Wednesday September,189
A12,188
Monday September,187
Crickoff Point,186
Roving Beach,186
Wednesday July,184
A4,183
Craigcroft Point,182
Hansen Island Tape,179
A30,178
A-30s,177
Saturday October,175
Friday October,175
Wednesday October,174
Friday July,173
Tuesday October,173
Friday September,173
A36,172
Saturday July,172
Thursday July,171
Hansen,163
Island,163
Herman,163
Saturday September,162
DAT,160
February,155
Blackfish,155
Thursday October,155
Paul,149
The,148
Boko,148
White Beach Pass,147
Robson Bight,147
Tuesday July,145
Robbing Beach,143
Robin,139
Site B,138
I-15,137
Lisa Hanson Island,137
Carson,135
Cracow Point,134
It,134
Waiton Passage,133
Monday October,133
This,132
Site A,131
Hanzo Island,130
Johnson Straits,129
Blackman Pass,128
Tomomi,128
Gs,126
Yuki,126
Crickroft Point,124
Mari,124
PI,122
I15s,122
West Pass,119
C5s,118
Craigcroft,117
Evan,116
Black Knee Pass,115
Johnston Strait,115
Hiromi,114
G's,113
Gabriel,113
Queen Charlotte Strait,110
Monday November,110
We,109
Roving Beaches,104
Side B,103
Yumi,101
Ireland,100
Red Point,98
Lara,94
Wednesday November,93
Hanson Island Cape,91
Wales,91
Pamela,91
Daniela,90
Friday November,89
Rob,89
Plough Island,89
A-36s,87
Hampton Island,87
I-11s,86
Luke,86
Masayuki,85
Krakow,84
Craycraft,84
Hans Island,83
Thursday November,83
Henson Island Tape,82
Kaoru,82
Cape,80
N3,80
Crickroft,79
Lisa Hansen Island,79
Flowers,78
Andy,78
And,77
Point,77
Matthew,75
Tuesday November,74
Mike,73
Pass,73
Becky,73
Flower Island Station,73
Rabin Beach,73
GI,73
Sonja,73
Passen Island,71
Sunday November,71
Hera,71
Big Bay,70
C,70
I-31,70
Saturday November,70
HIDE,70
A8s,69
A11s,68
Blinkhorn,68
Vancouver Island Channel,68
Sun Island,68
Vanessa,68
Hiroshi,67
Cs,66
Henson,66
Johnson,65
I31s,65
Moko,65
C6s,64
Blackie Pass,64
Rubbin Beach,64
Robbing Beaches,64
Kuriko Point,64
Anna,63
H's,63
Ds,63
Janie Ray,63
March,61
Passan Island,61
A-5s,60
A-type,60
Katie,60
Antoine,60
Volker,59
Aki,59
A20,58
A23s,58
A6,57
Blackfish Sand,57
Bs,57
Flora Island,57
Marie,57
Momoko,57
I'd,56
Robin Beaches,56
Louise,56
Hansen Island Cape,55
Blatney Pass,55
We're,54
Chihiro,54
Clermont,54
Hansel Island,52
Pacific Whitesided Dolphins,52
Cracker Point,52
Yambo,52
C10s,51
Flower Island Channel,51
Passing Island,51
Orca Lab,51
Sarah,51
Phil,50
Delphine,50
D's,49
Greycroft Point,49
Parsing Island,49
Handsome Island,49
Ayumi,49
Baronet Pass,48
It's,48
Johnstone Strait,48
D,47
Hansel,47
Rs,47
Mickey,47
Orcas,46
Johnson State,46
A26,46
Annika,46
Hans Nylen,45
F,45
Donegal Head,45
Gain,45
Sharon,45
Molly,45
Blackfish Town,44
Passing,44
A-12,44
Faroe Island,44
April,44
N4,44
C's,43
Black,43
St,43
Guinness,43
Crickoff,43
Leah,43
Parsons Bay,42
Bold Head,42
VI,42
Claycroft Point,42
Sachiko,42
Izumi Rock,41
May,41
Cracroft Point,41
Elodie,41
White Beach,40
Lower Island,40
Anton Island,40
ABS,40
Stuart,40
Boat Bay,39
Kaikash,39
Kirchhoff Point,39
Yashis,39
A36's,38
Henson Island Cape,38
Tape,38
Monday June,38
A-Clan,38
M3,38
City,38
Hayley,38
Rubin Beach,38
Craycroft Island,37
A9s,37
Izumi,37
Local Right,37
Helen,36
Robben Beach,36
Ribbon Beach,36
Elisa,36
Hans,35
Parson Islands,35
Heather,35
Sunday June,35
Hermann,35
Vancouver Island Station,34
Queen Charlotte,34
A-4s,34
Clare Island,34
House,34
Webbing Beach,34
Hanson Island Tate,33
Flowerland,33
Gretel,33
Claycroft,33
A11,32
Bight,32
Black New Pass,32
Hans Nylund,32
Redmond Beach,32
Anessa,32
Hs,31
Sophia's,31
Center,31
Local Lift,31
Gaines,31
We've,31
Robson Bay,30
G3s,30
A24s,30
Parsn Island,30
No,30
N47,30
Swine Point,30
Swing Point,30
Telegraph Cove,29
Tesseract,29
Flare Island,29
Greg,29
Henzen Island,29
A38,28
B's,28
Yashi's,28
Friday December,28
Joachim,28
Miriam,28
Kruger Point,28
Blackfriars Sound,27
Flora,27
Blakeney,27
G17s,27
Crancroft,27
Tate,27
